villageCode,villageNameEnglish,villageNameLocal,villageCensus2011Code,subdistrictCode,subdistrictNameEnglish,subdistrictNameLocal,subdistrictCensus2011Code,districtCode,districtNameEnglish,districtNameLocal,districtCensus2011Code,stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,data_gov_update_date
572266,Suddala,సుద్దాల,572266,4425,Sulthanabad,సుల్తానాబాద్,04425,682,Peddapalli,పెద్దపల్లి,000,36,Telangana,తెలంగాణ,00,28-12-2025
571227,Suddulam,సుద్దులం,571227,4377,Dichpally,డిచ్ పల్లి,04377,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
572259,Sultanabad,సుల్తానాబాద్,572259,4425,Sulthanabad,సుల్తానాబాద్,04425,682,Peddapalli,పెద్దపల్లి,000,36,Telangana,తెలంగాణ,00,28-12-2025
927806,Sultan Bagh,సుల్తాన్ బాగ్,000000,4509,Bandlaguda,బండ్లగూడ,04509,507,Hyderabad,హైదరాబాద్,536,36,Telangana,తెలంగాణ,00,28-12-2025
573930,Sultanpur,సుల్తాన్ పూర్,573930,6276,Ameenpur,అమిన్ పూర్,00000,691,Sangareddy,సంగారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
571190,Sultanpur,సుల్తాన్ పూరి,571190,4375,Birkur,బీర్కూర్,04375,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
570677,Sundersala,సుందరశాల,570677,4356,Chennur,చెన్నూర్,04356,684,Mancherial,మంచిర్యాల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
569232,Sungapur,సుంగాపూర్,569232,4312,Narnoor,నార్నూర్,04312,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,28-12-2025
570178,Sunkli,సుంక్లి,570178,4339,Bhainsa,భైంసా,04339,680,Nirmal,నిర్మల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
578177,Suraram,సూరారం,578177,4696,Zaffergadh,జఫర్ గడ్,04696,689,Jangoan,జనగాం,000,36,Telangana,తెలంగాణ,00,28-12-2025
575411,Suraram,సురారం,575411,4569,Koilkonda,కోయిల్ కోండ,04569,512,Mahabubnagar,మహబూబ్ నగర్,538,36,Telangana,తెలంగాణ,00,28-12-2025
573177,Suraram,సూరారం,573177,4467,Shankarampet (R),శంకరంపేట(ఆర్),04467,513,Medak,మెదక్,535,36,Telangana,తెలంగాణ,00,28-12-2025
577450,Surepalle,సూరెపల్లి,577450,4661,Nidmanoor,నిడమనూరు,04661,514,Nalgonda,నల్గొండ,539,36,Telangana,తెలంగాణ,00,28-12-2025
574376,Surpanpalle,సర్ ఫన్ పల్లి,574376,4530,Vikarabad,వికారాబాద్,04530,698,Vikarabad,వికారాబాద్,000,36,Telangana,తెలంగాణ,00,28-12-2025
909772,Suryapet (Municipality),సూర్యాపేట,000000,4638,Suryapet,సూర్యాపేట,04638,696,Suryapet,సూర్యాపేట,000,36,Telangana,తెలంగాణ,00,28-12-2025
570104,Suryapur,సూర్యాపూర్,570104,4337,Kuntala,కుంటాల,04337,680,Nirmal,నిర్మల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
579693,Suvarnapuram,సువర్ణాపురం,579693,4758,Mudigonda,ముదిగొండ,04758,509,Khammam,ఖమ్మం,541,36,Telangana,తెలంగాణ,00,28-12-2025
574649,Syedmalkapur,సయద్ మల్కాపూర్,574649,4540,Pargi,పరిగి,04540,698,Vikarabad,వికారాబాద్,000,36,Telangana,తెలంగాణ,00,28-12-2025
569108,Syedpur,సయిద్ పూర్,569108,7515,Sathnala,Sathnala,00000,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,28-12-2025
570691,Tadbiloli,తాడ్ బిలోలి,570691,4357,Renjal,రేంజల్,04357,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
573493,Taddanpalle,తాడ్దాన్పల్లి,573493,7188,Chowtakur,,00000,691,Sangareddy,సంగారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
573872,Tadlapalle,తాళ్ళపల్లి,573872,4492,Sangareddy,సంగారెడ్డి,04492,691,Sangareddy,సంగారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
575674,Tadoor,తాడూర్,575674,4580,Uppununthala,ఉప్పునుంతల,04580,694,Nagarkurnool,నాగర్ కర్నూల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
571936,Tadwai,తడ్వాయి,571936,4405,Malharrao,మల్హార్ రావు,04405,687,Jayashankar Bhupalapally,జయశంకర్ భూపాలపల్లి,000,36,Telangana,తెలంగాణ,00,28-12-2025
570981,Taggelli,తగ్గెపల్లి,570981,7532,Saloora,Saloora,00000,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
568988,Takli,టాక్లి,568988,6221,Adilabad Rural,ఆదిలాబాద్ (రూరల్),00000,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,28-12-2025
571009,Takli,టాక్లి,571009,7534,Pothangal,Pothangal,00000,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
570256,Takli,టాక్లీ,570256,6205,Basar,బాసర,00000,680,Nirmal,నిర్మల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
927822,Talabchanchalam,తలాబ్ చంచలం,000000,4510,Charminar,చార్మినార్,04510,507,Hyderabad,హైదరాబాద్,536,36,Telangana,తెలంగాణ,00,28-12-2025
569609,Talamadri,తలమద్రి,569609,4322,Ichoda,ఇచ్చోడ,04322,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,28-12-2025
569986,Talandi,తలండి,569986,4333,Tiryani,తిర్యాని,04333,699,Kumuram Bheem Asifabad,కుమురం భీమ్ ఆసిఫాబాద్,000,36,Telangana,తెలంగాణ,00,28-12-2025
571849,Tallagadda,తాల్లగడ్డ,571849,4403,Mahadevpur,మహాదేవపూర్,04403,508,Jayashankar Bhupalapally,జయశంకర్ భూపాలపల్లి,000,36,Telangana,తెలంగాణ,00,28-12-2025
909955,Tallagudem,తాళ్లగూడెం,000000,4616,Yadagirigutta,యాదగిరి గుట్ట,04616,697,Yadadri Bhuvanagiri,యదాద్రి భువనగిరి,000,36,Telangana,తెలంగాణ,00,28-12-2025
579667,Tallampadu,తల్లంపాడు,579667,4756,Khammam (Rural),ఖమ్మం రూరల్,04756,509,Khammam,ఖమ్మం,541,36,Telangana,తెలంగాణ,00,28-12-2025
579574,Tallapenta,తాల్లపెంట,579574,4752,Penuballi,పెనుబల్లి,04752,509,Khammam,ఖమ్మం,541,36,Telangana,తెలంగాణ,00,28-12-2025
570462,Tallapet,తాళ్లపేట్,570462,4348,Dandepally,దండెపల్లి,04348,684,Mancherial,మంచిర్యాల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
574285,Tallaram,తల్లారం,574285,4529,Chevella,చేవెళ్ళ,04529,518,Ranga Reddy,రంగా రెడ్డి,537,36,Telangana,తెలంగాణ,00,28-12-2025
576871,Tallavellamla,తాళ్ల ఎల్లంళ,576871,4633,Chityal,చిట్యాల,04633,514,Nalgonda,నల్గొండ,539,36,Telangana,తెలంగాణ,00,28-12-2025
571568,Talmadla,తల మడ్ల,571568,6241,Rajampet,రాజంపెట్,00000,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
568972,Tamsi (B),తాంసి -బి,568972,4305,Tamsi,తాంసి,04305,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,28-12-2025
570395,Tandra,తాండ్రా,570395,4346,Mamada,మామడ,04346,680,Nirmal,నిర్మల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
